,pvalue,M
0,9.46628545384183e-07,2
1,0.00013160621991117365,2
2,0.000251668450698004,2
3,0.01380725862226192,2
4,0.0017363438756739405,2
5,0.0036786916541523976,2
6,0.0004896173715370329,2
7,0.02721010196978517,2
8,0.003313318782253956,2
9,9.614993757901374e-05,2
10,1.7290591224921637e-06,3
11,5.33254519077554e-05,3
12,0.00014429249318249288,3
13,0.008801890661663571,3
14,0.0006333794092221179,3
15,0.001941750162287812,3
16,0.0002478385041443839,3
17,0.011665972203230419,3
18,0.0007735494196039863,3
19,5.558530191006516e-05,3
20,3.2621877464273286e-06,4
21,9.322160511654764e-05,4
22,0.00020073145461629586,4
23,0.007198194696255965,4
24,0.0004397680053967546,4
25,0.0014766531916299856,4
26,0.00015730540446124246,4
27,0.011704301855837594,4
28,0.0012417864722931921,4
29,5.6549393983150314e-05,4
30,2.136824774902494e-06,5
31,0.00010131265574749474,5
32,9.450923979316304e-05,5
33,0.0043282163835866045,5
34,0.000494797418882946,5
35,0.000823917274490962,5
36,0.000115636455299539,5
37,0.0070113154543724274,5
38,0.0009748686023492059,5
39,4.118796500041609e-05,5
40,2.2523010618819963e-06,6
41,0.00012176094064162755,6
42,5.5231532710379904e-05,6
43,0.0030427461370976525,6
44,0.00039131809867065507,6
45,0.0004832532946118137,6
46,9.345774171635454e-05,6
47,0.009256450468553553,6
48,0.0011486343092087165,6
49,5.0467423636015865e-05,6
50,1.251755647564875e-06,7
51,7.050787114345373e-05,7
52,6.635688560968415e-05,7
53,0.003385764263765981,7
54,0.0003586562351171705,7
55,0.0007747580130969585,7
56,0.00013934311662002808,7
57,0.010152297763557515,7
58,0.0012106765169288174,7
59,6.245408516539056e-05,7
60,6.391960409530913e-07,8
61,3.792628561583347e-05,8
62,3.352462894101118e-05,8
63,0.0022576605019165212,8
64,0.00025953850415738394,8
65,0.0006270735365495004,8
66,0.00015766007079398407,8
67,0.011972872581082218,8
68,0.0012404235983331454,8
69,4.8510548984685946e-05,8
70,5.378518317959923e-07,9
71,3.590480268048325e-05,9
72,4.695961814225586e-05,9
73,0.0026314220430041974,9
74,0.0003070045091075564,9
75,0.0005108927169516736,9
76,0.00011166486907481295,9
77,0.011163401340021238,9
78,0.001266681640729682,9
79,3.8674340526481093e-05,9
80,3.28538174120101e-07,10
81,2.9172676987722037e-05,10
82,4.2066439581739546e-05,10
83,0.0026038413810939814,10
84,0.00021588960318091492,10
85,0.0004711704506409039,10
86,7.790691480599349e-05,10
87,0.010663997255299202,10
88,0.0012605469890887365,10
89,5.142569201490307e-05,10
90,3.1210440684976584e-07,11
91,2.8659828960242326e-05,11
92,4.353457903498453e-05,11
93,0.0022911358676049325,11
94,0.00020778305195404812,11
95,0.0003114189257505517,11
96,5.174356347082818e-05,11
97,0.00891852144840764,11
98,0.0011900558334877586,11
99,4.049325160015727e-05,11
