,sample_size_pergroup,sample_size,pvalue,coefficient,M
0,18,18,2.2797311979288698e-07,-0.3117906819697766,1
1,18,18,0.29133838121606426,-0.09588681077280534,1
2,18,18,0.16924169028678204,-0.09092657360404126,1
3,18,18,0.8680855564906906,-0.01323370490628203,1
4,18,18,0.21254530651366155,-0.09046207180021673,1
5,18,18,0.0003543512233630458,-0.27407896537556825,1
6,18,18,0.016036981548899123,-0.19220801195589116,1
7,18,18,0.005608003434647038,-0.24800667072121543,1
8,18,18,0.01573142756671798,-0.21738546304890988,1
9,18,18,0.9599955530081828,-0.004946866279368179,1
10,18,18,0.15264701449219248,-0.10246174360491977,1
11,18,18,0.1459495300242554,-0.10498459020865823,1
12,18,18,0.770668735518946,-0.02331950557902067,1
13,18,18,0.7472475843620605,-0.028218146618497246,1
14,18,18,0.047448326890494746,-0.13167176653470128,1
15,18,18,0.7781226150453185,0.025617542814439367,1
16,18,18,0.854775736547583,-0.014742902005064952,1
17,18,18,0.7553638594631709,-0.027328531431177576,1
18,18,18,0.00999005219698408,-0.13906435288768562,1
19,18,18,0.04644267955035396,-0.2035769140176691,1
20,18,18,0.0039096592206193164,-0.23106422847562394,1
21,18,18,0.05586825691648371,-0.19556165176224613,1
22,18,18,0.12127343493222331,-0.14279637378325089,1
23,18,18,0.029209805649336822,-0.19012567771629144,1
24,18,18,0.05203259897748903,-0.18677718267864948,1
25,18,18,0.45092581750143024,-0.07223611558633104,1
26,18,18,0.04970883981551564,-0.1430858093692994,1
27,18,18,0.24892075106701517,-0.11087329551118881,1
28,18,18,0.9548854924109871,0.004197515255695943,1
29,18,18,0.5508552114606334,-0.0505798182281833,1
30,18,18,0.6620398397000999,-0.043751598741660895,1
31,18,18,0.338844755510033,-0.08720977651341616,1
32,18,18,0.3152415715255249,-0.09030280059742857,1
33,18,18,0.18738046017585852,-0.09155718837859696,1
34,18,18,0.31725143432029845,-0.08982036211057165,1
35,18,18,0.007784490578321937,-0.22046558492044846,1
36,18,18,0.19030180740290337,-0.10540300176810252,1
37,18,18,0.39581356386977573,-0.06811006187615189,1
38,18,18,0.05001606415128262,-0.15872221282620272,1
39,18,18,0.011066620283922187,-0.24998559972897608,1
40,18,18,0.10088373246948266,-0.1926263083754273,1
41,18,18,0.38707829564016494,-0.07310816381948301,1
42,18,18,0.0037588202718601338,-0.22781896621684883,1
43,18,18,0.914237853732413,0.010932325343049673,1
44,18,18,0.7126825433638369,0.030361383114499912,1
45,18,18,0.004601605491416742,-0.2447262367822264,1
46,18,18,0.8738527321004462,-0.018287432892018774,1
47,18,18,0.9093114269076981,-0.011710498231283964,1
48,18,18,0.12354542996368315,-0.133672395588019,1
49,18,18,0.03969124181983183,-0.19158552284421804,1
50,18,18,0.7107168472463914,-0.029246559673992454,1
51,18,18,0.018722982167195357,-0.20452013131118985,1
52,18,18,0.0019628439785839614,-0.2133532609364659,1
53,18,18,0.8628000618772965,0.02139528062676592,1
54,18,18,0.07264628206752444,-0.11035838892510785,1
55,18,18,0.11069762328753453,-0.1521075040583744,1
56,18,18,0.00830352467819741,-0.2573036696296211,1
57,18,18,0.17840791040957915,-0.09804161054397259,1
58,18,18,0.694956589797936,-0.03945397784712136,1
59,18,18,0.09639062505643295,-0.11594484395547464,1
60,18,18,0.03882754135846956,-0.16441926200960985,1
61,18,18,0.1136703264791427,-0.16779744811020697,1
62,18,18,0.5800015074129768,0.047958996712808795,1
63,18,18,0.048485760771590565,-0.18412786242853527,1
64,18,18,0.6862488818533883,-0.04059538044765838,1
65,18,18,0.059428684868108116,-0.16770988304721154,1
66,18,18,0.4251048517274606,-0.07229526555684208,1
67,18,18,0.4774201557963693,-0.06291221505243448,1
68,18,18,0.5625752752469442,-0.04248202967206342,1
69,18,18,0.005457529735528519,-0.16880231010700233,1
70,18,18,0.04583378856123216,-0.16190515177211184,1
71,18,18,0.5897187769173238,-0.04907719056437087,1
72,18,18,0.36101369019602025,-0.10232524157905537,1
73,18,18,0.3202261415100477,-0.09182699789653243,1
74,18,18,0.08818825068059866,-0.10042155064544418,1
75,18,18,0.01069354674659346,-0.2752207484080522,1
76,18,18,0.010886566824960196,-0.21190251020505377,1
77,18,18,0.04846664185182226,-0.19541747997811057,1
78,18,18,0.14787233398023988,-0.10655565275406824,1
79,18,18,0.8121147303425523,0.025290545447748242,1
80,18,18,0.234371658382878,-0.12383833665662501,1
81,18,18,0.0038780633809164123,-0.26535764315880617,1
82,18,18,0.11947952953469025,-0.1089577407858975,1
83,18,18,0.48378318866288894,-0.07120249640000367,1
84,18,18,0.0013615524141599848,-0.23467198950724497,1
85,18,18,0.3357841596851111,-0.06564956255573567,1
86,18,18,0.012043725303522336,-0.2391936265343792,1
87,18,18,0.15906697096723177,-0.11520192929296276,1
88,18,18,0.36595684639032067,-0.07471538683957744,1
89,18,18,0.544691301635331,-0.05354385637735359,1
90,18,18,0.30368999560402143,-0.0877886950887018,1
91,18,18,0.15091368004497493,-0.170914759312824,1
92,18,18,0.3190120663803747,-0.08820913060147867,1
93,18,18,0.6477312876525757,-0.04760640106172057,1
94,18,18,0.1779809372119442,-0.15917339432995053,1
95,18,18,0.20421509627152223,-0.10770862964152579,1
96,18,18,0.19760726662923433,-0.11000997633330298,1
97,18,18,0.9814704048112924,-0.0019133126650637692,1
98,18,18,0.12294285370583127,-0.15226118645740502,1
99,18,18,0.12382585794538865,-0.13814656296067354,1
100,18,18,0.061074454855486224,0.13560497037455713,1
101,18,18,0.8685942225096188,-0.015274476893373084,1
102,18,18,0.0007129603849387221,-0.34473015025424225,1
103,18,18,0.7121965677128264,-0.030795148549181695,1
104,18,18,0.009617181555730936,-0.1602331241092875,1
105,18,18,0.08862903835400063,-0.14094142631574091,1
106,18,18,0.0335497304474924,-0.15559150757004256,1
107,18,18,0.9656106040222395,0.004081698934877115,1
108,18,18,0.47881300895837065,-0.06475032908258428,1
109,18,18,0.09827174413157204,-0.17684339806843707,1
110,18,18,0.00044502338473047525,-0.2865938316591645,1
111,18,18,0.07174784932862976,-0.1662778340164825,1
112,18,18,0.10958424581812533,-0.18192044219571976,1
113,18,18,0.550660434640921,-0.039036690288399935,1
114,18,18,0.5538539718399804,-0.0613367379143113,1
115,18,18,0.1731019463825756,-0.14244539949935234,1
116,18,18,0.13756356924156612,-0.1376742827120234,1
117,18,18,0.6770273727012617,-0.04134204543360395,1
118,18,18,0.10282889561074023,-0.14983449876905147,1
119,18,18,0.021191044712263494,-0.14456853306166542,1
120,18,18,0.6618928268249298,0.04653033523595569,1
121,18,18,0.005986359949587565,-0.11715188849526324,1
122,18,18,0.9527032663849659,0.004887313642682282,1
123,18,18,0.28559171847392617,-0.09143763127096001,1
124,18,18,0.06494899239995243,0.09485927533306152,1
125,18,18,0.10353297014647826,-0.1740257433482441,1
126,18,18,0.12779302984832333,-0.11659002322223191,1
127,18,18,0.2193166802401052,-0.11462732760935995,1
128,18,18,0.040879557090008074,-0.16731424891008398,1
129,18,18,0.1529569048411167,-0.11218441281327873,1
130,18,18,0.023771572361012808,-0.17647738234583887,1
131,18,18,0.09446517129542405,-0.14590544584741882,1
132,18,18,0.0005032244933369281,-0.28219584709065126,1
133,18,18,0.13278804949887119,-0.14045583669938783,1
134,18,18,0.18471045383394213,-0.11773166417806505,1
135,18,18,0.6307423688459675,-0.053046107064238096,1
136,18,18,0.6966106461730173,0.037439701415230474,1
137,18,18,0.36076445128837753,-0.0908370716655315,1
138,18,18,0.13705691662622363,-0.09624212340082947,1
139,18,18,0.0651059853993462,-0.15864299134315699,1
140,18,18,0.2663384225641998,-0.11413376380919076,1
141,18,18,0.32239473776758376,0.08116520389104756,1
142,18,18,0.04927676309429366,-0.1818500881875801,1
143,18,18,0.004616822737467068,-0.29012723031118676,1
144,18,18,0.18842059142425693,-0.1330289375815963,1
145,18,18,0.3604490458791072,-0.09105683632638681,1
146,18,18,0.04442609147206563,-0.151422831184482,1
147,18,18,0.005313767404115944,-0.3134801178887167,1
148,18,18,0.18711283649584232,-0.09483566587681856,1
149,18,18,0.0372781948710286,-0.2287904349928786,1
150,18,18,0.7058473917720317,-0.030485549673150994,1
151,18,18,0.12736619679426237,-0.1606476900696194,1
152,18,18,0.3387010969293983,0.08781532799077739,1
153,18,18,0.7309167906290628,-0.031474639456821545,1
154,18,18,0.9910692302209989,0.0010145598218634065,1
155,18,18,0.30037523414334977,-0.11914603367239275,1
156,18,18,0.3716340863543439,-0.07673994543014105,1
157,18,18,0.7833774143971369,0.024810018028847903,1
158,18,18,1.7399385211482614e-06,-0.3069019605778605,1
