,pvalue,M
0,2.6098783791134822e-05,2
1,0.009794672848751717,2
2,0.00780789480864362,2
3,0.029089352831100625,2
4,0.0002918387601581624,2
5,0.0917050839952885,2
6,0.11831872348948065,2
7,0.041203244212021664,2
8,0.02596254445209576,2
9,0.34471288595221417,2
10,5.616536243396047e-05,3
11,0.003637614569542147,3
12,0.006236888068372898,3
13,0.020930045153800605,3
14,6.958922525236623e-05,3
15,0.11889460530974053,3
16,0.055198848787319496,3
17,0.02404293030913015,3
18,0.054171983755790507,3
19,0.4079517306337186,3
20,8.115130438375827e-05,4
21,0.0033308919219144466,4
22,0.003772589709696072,4
23,0.013503066064523814,4
24,7.991882199533916e-05,4
25,0.13100987587329252,4
26,0.05330779505325433,4
27,0.024326923390437193,4
28,0.03140794945271187,4
29,0.32963467790583956,4
30,6.109680955723189e-05,5
31,0.001577546922911895,5
32,0.0017988233473950664,5
33,0.015645565097694013,5
34,8.844175741676872e-05,5
35,0.1138308365583284,5
36,0.030173935900384745,5
37,0.020331205277694536,5
38,0.036517339232127466,5
39,0.2743592380414408,5
40,7.054863100090245e-05,6
41,0.0010336520927592447,6
42,0.0016974362746917861,6
43,0.017968003852642005,6
44,0.0002260180849559245,6
45,0.10483441231164199,6
46,0.02233708460387419,6
47,0.025848420620827366,6
48,0.02794203164215785,6
49,0.23383848613071306,6
50,6.289585012799593e-05,7
51,0.0011141957929425219,7
52,0.0011228615614245904,7
53,0.020380930594394706,7
54,9.126214822383817e-05,7
55,0.13755617643648838,7
56,0.017634721561473197,7
57,0.017168803665571167,7
58,0.02333664079984765,7
59,0.26381570614062216,7
60,5.478970096592758e-05,8
61,0.001118751442441904,8
62,0.0011948213602458514,8
63,0.018763345558900277,8
64,7.324756093906709e-05,8
65,0.15410224028406783,8
66,0.01976452464369167,8
67,0.017832021235761848,8
68,0.023178309362111526,8
69,0.29090021635658103,8
70,4.3891735172271175e-05,9
71,0.0013408746802119349,9
72,0.0012848760661338537,9
73,0.016491725974829362,9
74,7.266681833221544e-05,9
75,0.14551050814388616,9
76,0.018435956101444252,9
77,0.01527705861375292,9
78,0.031219697621913692,9
79,0.2972191315308336,9
80,3.772802495972782e-05,10
81,0.0019106521780923563,10
82,0.0013270030970577555,10
83,0.015214643962557657,10
84,5.916723506332068e-05,10
85,0.14166384192575177,10
86,0.016838341773674652,10
87,0.01576453649034125,10
88,0.03289755759248175,10
89,0.29052502819000325,10
90,3.8652971865099785e-05,11
91,0.0015927232115203304,11
92,0.0012249810275046364,11
93,0.013899771554710833,11
94,3.7527057042760796e-05,11
95,0.12943474963552545,11
96,0.019866337594263365,11
97,0.01794203747260052,11
98,0.03140147369697953,11
99,0.299954974760908,11
